category/id,title,title_pt,original_description,xml_line,data_type,api_to_encoded_values,routes,status
03/1E,Compass Zone Settings,,ｺﾝﾊﾟｽｿﾞｰﾝ設定,2067,0,"{""1"": 0, ""2"": 1}",[],no_xml_route
03/1F,WELCOME Scroll Duration,,WELCOMEｽｸﾛｰﾙ時間,2087,0,"{""1"": 0, ""2"": 1, ""3"": 2}",[],no_xml_route
03/20,"Initial Brightness Setting for Welcome Lights
",,ｳｪﾙｶﾑ照明の初期点灯輝度設定,2108,0,"{""1"": 0, ""2"": 1}",[],no_xml_route
03/21,"Initial Brightness Setting for Welcome Lights
",,ｳｪﾙｶﾑ照明の初期点灯輝度設定,2128,1,{},[],no_xml_route
03/22,"Welcome Light Settings
",,ｳｪﾙｶﾑ照明設定,2145,0,"{""1"": 0, ""2"": 1}",[],no_xml_route
03/23,Shift Up Backlight,,REVインジケータ設定,2165,0,"{""1"": 0, ""2"": 1}","[{""source"": 80, ""menu"": 17}]",metadata_present
03/24,"ECO Indicator ON/OFF
",,ECOインジケータ設定,2187,0,"{""1"": 0, ""2"": 1}","[{""source"": 80, ""menu"": 18}]",metadata_present
03/25,Change Units for Digital Speedometer Display,,ﾃﾞｼﾞﾀﾙｽﾋﾟｰﾄﾞﾒｰﾀの表示単位系切り替え,2209,0,"{""1"": 0, ""2"": 1, ""3"": 2}",[],no_xml_route
03/26,,,パワーメータの表示単位切替,2230,0,"{""1"": 0, ""2"": 1, ""3"": 2}","[{""source"": 80, ""menu"": 20}]",metadata_present
03/27,Stopwatch Function Settings,,ストップウオッチ機能の設定,2253,0,"{""1"": 0, ""2"": 1, ""3"": 2}",[],no_xml_route
03/28,Fuel Efficiency Backlight,Retroiluminação de eficiência de combustível,アンビエントメーター照明色変化設定,2274,0,"{""1"": 0, ""2"": 1}","[{""source"": 80, ""menu"": 22}]",metadata_present
03/29,Fuel Efficiency Backlight Color,Luz do Consumo de Combustível,アンビエントメーター照明色設定（ホワイト色なし）,2296,0,"{""1"": 1, ""2"": 2, ""3"": 3, ""4"": 4, ""5"": 5, ""6"": 6, ""7"": 7}","[{""source"": 80, ""menu"": 50}]",metadata_present
03/2A,Fuel Efficiency Backlight Color,Luz do Consumo de Combustível,アンビエントメーター照明色設定（ホワイト色あり）,2323,0,"{""1"": 7, ""2"": 1, ""3"": 2, ""4"": 3, ""5"": 4, ""6"": 5, ""7"": 6, ""8"": 7}","[{""source"": 80, ""menu"": 51}]",metadata_present
03/2B,CLOCK Function,,CLOCK機能,2351,1,{},[],no_xml_route
03/2C,CLOCK Function,,CLOCK機能,2365,0,"{""1"": 0, ""2"": 1, ""3"": 2}",[],no_xml_route
03/2D,Timed Charging Function,,タイマー充電機能,2386,0,"{""1"": 0, ""2"": 1}",[],no_xml_route
03/2E,Timed Charging Mode,,タイマー充電モード,2406,0,"{""1"": 0, ""2"": 1}",[],no_xml_route
03/2F,,,タイマー充電開始時刻（時間）,2426,0,"{""1"": 0, ""2"": 12, ""3"": 23}",[],no_xml_route
03/30,,,タイマー充電開始時刻（分）,2447,0,"{""1"": 0, ""2"": 30, ""3"": 50}",[],no_xml_route
03/31,,,タイマー充電終了時刻（時間）,2468,0,"{""1"": 0, ""2"": 12, ""3"": 23}",[],no_xml_route
03/32,,,タイマー充電終了時刻（分）,2489,0,"{""1"": 0, ""2"": 30, ""3"": 50}",[],no_xml_route
03/33,SIL display settings,SIL display settings,SILインジケータ表示設定,2510,0,"{""1"": 0, ""2"": 1}",[],no_xml_route
03/34,Hold ECON Mode,,ECOＮモード保持,2530,0,"{""1"": 0, ""2"": 1}","[{""source"": 80, ""menu"": 25}]",metadata_present
03/35,Smart Start Guidance Display,,スマートスタートのガイダンス表示,2552,0,"{""1"": 0, ""2"": 1}","[{""source"": 80, ""menu"": 28}]",metadata_present
03/36,Speed Display Unit,Unid. de exibição de velocidade,車速表示単位,2574,0,"{""1"": 0, ""2"": 1}","[{""source"": 80, ""menu"": 29}]",metadata_present
03/37,Auto Engine Idle Stop Guidance Screens,,アイドルストップガイダンス表示設定,2596,0,"{""1"": 0, ""2"": 1}","[{""source"": 80, ""menu"": 30}]",metadata_present
03/38,Turn By Turn Auto Display,Exibição curva-a-curva,Turn by Turn表示（メータのみ）,2618,0,"{""1"": 0, ""2"": 1}","[{""source"": 80, ""menu"": 32}]",metadata_present
03/39,,,HUW 機能 ON/OFF,2640,0,"{""1"": 0, ""2"": 1}",[],no_xml_route
